StockCode,Description,product_revenue,quantity,orders
21212,PACK OF 72 RETROSPOT CAKE CASES,16394.53,33693,1029
22384,LUNCH BAG PINK POLKADOT,16349.5,10254,931
22865,HAND WARMER OWL DESIGN,16237.630000000001,8115,572
15036,ASSORTED COLOURS SILK FAN,16044.44,21876,324
22492,MINI PAINT SET VINTAGE,16039.240000000002,26076,325
22382,LUNCH BAG SPACEBOY DESIGN,15881.199999999999,9912,988
21485,RETROSPOT HEART HOT WATER BOTTLE,15871.73,3335,533
21754,HOME BUILDING BLOCK WORD,15630.960000000001,2654,691
85152,HAND OVER THE CHOCOLATE   SIGN,15539.11,8164,590
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,8187,492
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15415.22,3736,514
22383,LUNCH BAG SUKI DESIGN,15384.05,9601,899
22385,JUMBO BAG SPACEBOY DESIGN,15331.02,8236,477
15056BL,EDWARDIAN PARASOL BLACK,15218.67,2779,291
84946,ANTIQUE SILVER T-LIGHT GLASS,15206.42,12973,534
22077,6 RIBBONS RUSTIC CHARM,14988.589999999998,8605,726
22624,IVORY KITCHEN SCALES,14788.33,1783,620
22698,PINK REGENCY TEACUP AND SAUCER,14769.49,5343,556
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14689.87,2341,509
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14632.970000000001,7757,451
20726,LUNCH BAG WOODLAND,14537.11,9115,820
22993,SET OF 4 PANTRY JELLY MOULDS,14180.17,11792,866
22835,HOT WATER BOTTLE I AM SO POORLY,13847.28,2972,505
22197,SMALL POPCORN HOLDER,13798.72,18252,403
84997D,CHILDRENS CUTLERY POLKADOT PINK,13796.6,3530,323
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13586.249999999998,54415,472
48184,DOORMAT ENGLISH ROSE,13470.95,1975,356
22084,PAPER CHAIN KIT EMPIRE,13435.150000000001,4893,374
84029E,RED WOOLLY HOTTIE WHITE HEART.,13430.51,3707,321
22847,BREAD BIN DINER STYLE IVORY,13131.89,847,341
23356,LOVE HOT WATER BOTTLE,13115.400000000001,2352,449
22900,SET 2 TEA TOWELS I LOVE LONDON,13068.2,4580,368
23200,JUMBO BAG PEARS,13043.24,6733,470
22622,BOX OF VINTAGE ALPHABET BLOCKS,13035.66,1295,231
84078A,SET/4 WHITE RETRO STORAGE CUBES,13007.150000000001,357,106
23313,VINTAGE CHRISTMAS BUNTING,12994.77,2755,359
23108,SET OF 10 LED DOLLY LIGHTS,12985.23,2194,351
82583,HOT BATHS METAL SIGN,12832.140000000001,6415,385
84978,HANGING HEART JAR T-LIGHT HOLDER,12674.720000000001,10980,572
22752,SET 7 BABUSHKA NESTING BOXES,12665.29,1654,297
22558,CLOTHES PEGS RETROSPOT PACK 24,12545.38,8418,639
23301,GARDENERS KNEELING PAD KEEP CALM,12493.48,7740,756
22507,MEMO BOARD RETROSPOT  DESIGN,12411.02,2786,348
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12294.380000000001,1723,304
22188,BLACK HEART CARD HOLDER,12261.9,4844,166
22866,HAND WARMER SCOTTY DOG DESIGN,12248.760000000002,6118,471
20750,RED RETROSPOT MINI CASES,12216.8,1712,365
22113,GREY HEART HOT WATER BOTTLE,12191.15,3156,511
22551,PLASTERS IN TIN SPACEBOY,12151.8,7664,579
22941,CHRISTMAS LIGHTS 10 REINDEER,12150.0,1572,253
20749,ASSORTED COLOUR MINI CASES,12123.41,1719,365
21524,DOORMAT SPOTTY HOME SWEET HOME,12095.67,1662,405
22867,HAND WARMER BIRD DESIGN,12081.430000000002,6001,474
22083,PAPER CHAIN KIT RETROSPOT,12043.210000000001,4307,444
23207,LUNCH BAG ALPHABET DESIGN,12029.06,7554,647
22379,RECYCLING BAG RETROSPOT,11942.43,6088,407
22625,RED KITCHEN SCALES,11895.73,1476,448
22568,FELTCRAFT CUSHION OWL,11783.05,3284,417
22273,FELTCRAFT DOLL MOLLY,11762.99,4469,293
47590B,PINK HAPPY BIRTHDAY BUNTING,11688.150000000001,2287,359
23077,DOUGHNUT LIP GLOSS,11640.7,9662,308
22554,PLASTERS IN TIN WOODLAND ANIMALS,11637.429999999998,7307,587
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11629.7,24264,669
20971,PINK BLUE FELT CRAFT TRINKET BOX,11629.39,10225,457
22607,WOODEN ROUNDERS GARDEN SET,11601.14,1269,303
22191,IVORY DINER WALL CLOCK,11587.2,1426,391
23174,REGENCY SUGAR BOWL GREEN,11575.54,2956,268
22149,FELTCRAFT 6 FLOWER FRIENDS,11566.390000000001,5890,461
48188,DOORMAT WELCOME PUPPIES,11544.2,2028,252
21755,LOVE BUILDING BLOCK WORD,11535.560000000001,1946,555
22427,ENAMEL FLOWER JUG CREAM,11444.93,1995,441
82486,WOOD S/3 CABINET ANT WHITE FINISH,11394.9,1370,373
22193,RED DINER WALL CLOCK,11074.390000000001,1352,416
21232,STRAWBERRY CERAMIC TRINKET BOX,10895.52,9328,507
21930,JUMBO STORAGE BAG SKULLS,10890.79,5706,471
22501,PICNIC BASKET WICKER LARGE,10818.9,1194,257
22570,FELTCRAFT CUSHION RABBIT,10694.81,3018,324
22413,METAL SIGN TAKE IT OR LEAVE IT,10647.300000000001,3690,351
21790,VINTAGE SNAP CARDS,10447.42,13336,722
47566B,TEA TIME PARTY BUNTING,10445.25,2291,313
21936,RED RETROSPOT PICNIC BAG,10371.66,3758,385
23209,LUNCH BAG VINTAGE DOILY,10370.76,6452,538
22662,LUNCH BAG DOLLY GIRL DESIGN,10360.69,6545,598
23209,LUNCH BAG DOILEY PATTERN,10331.3,6482,464
22730,ALARM CLOCK BAKELIKE IVORY,10285.61,2728,468
22087,PAPER BUNTING WHITE LACE,10264.050000000001,3779,257
85014B,RED RETROSPOT UMBRELLA,10247.470000000001,1846,303
21479,WHITE SKULL HOT WATER BOTTLE,10227.72,2702,378
22617,BAKING SET SPACEBOY DESIGN,10210.890000000001,2153,424
23170,REGENCY TEA PLATE ROSES,10190.789999999999,6575,328
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,10161.41,928,260
22988,SOLDIERS EGG CUP,10150.220000000001,8821,327
20724,RED RETROSPOT CHARLOTTE BAG,10125.85,12809,739
47590A,BLUE HAPPY BIRTHDAY BUNTING,10107.52,1950,355
21891,TRADITIONAL WOODEN SKIPPING ROPE,10019.47,7919,340
23208,LUNCH BAG VINTAGE LEAF DESIGN,10006.45,6225,597
23300,GARDENERS KNEELING PAD CUP OF TEA,9963.39,6303,635
22499,WOODEN UNION JACK BUNTING,9928.83,1734,296
84997C,CHILDRENS CUTLERY POLKADOT BLUE,9831.4,2524,211
48173C,DOORMAT BLACK FLOCK,9822.2,1787,173
23343,JUMBO BAG VINTAGE CHRISTMAS,9748.34,4908,385
23076,ICE CREAM SUNDAE LIP GLOSS,9668.16,7920,248
22970,LONDON BUS COFFEE MUG,9666.3,4246,276
21080,SET/20 RED RETROSPOT PAPER NAPKINS,9656.789999999999,12313,732
22569,FELTCRAFT CUSHION BUTTERFLY,9655.48,2698,294
22690,DOORMAT HOME SWEET HOME BLUE,9635.89,1597,261
84997B,CHILDRENS CUTLERY RETROSPOT RED,9603.68,2492,229
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,9597.710000000001,15611,529
22846,BREAD BIN DINER STYLE RED,9597.31,626,249
22556,PLASTERS IN TIN CIRCUS PARADE,9596.96,5952,521
82600,NO SINGING METAL SIGN,9573.6,4636,384
22605,WOODEN CROQUET GARDEN SET,9555.98,709,240
22633,HAND WARMER UNION JACK,9550.560000000001,4746,441
22692,DOORMAT WELCOME TO OUR HOME,9468.08,1378,338
22555,PLASTERS IN TIN STRONGMAN,9462.289999999999,5885,449
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,9424.32,2704,319
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266,214
22766,PHOTO FRAME CORNICE,9365.78,3206,454
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,9339.34,8273,278
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,9329.17,2469,319
22560,TRADITIONAL MODELLING CLAY,9311.47,8014,336
22621,TRADITIONAL KNITTING NANCY,9297.869999999999,5895,509
23240,SET OF 4 KNICK KNACK TINS DOILY,9270.5,2294,312
21914,BLUE HARMONICA IN BOX,9222.63,7434,517
21481,FAWN BLUE HOT WATER BOTTLE,9218.550000000001,2925,379
21217,RED RETROSPOT ROUND CAKE TINS,9188.25,975,257
23171,REGENCY TEA PLATE GREEN,9184.9,5966,270
22978,PANTRY ROLLING PIN,9184.279999999999,2407,197
22561,WOODEN SCHOOL COLOURING SET,9072.869999999999,5695,395
20679,EDWARDIAN PARASOL RED,9055.87,1630,270
23175,REGENCY MILK JUG PINK,9008.0,3066,272
22992,REVOLVER WOODEN RULER,8950.289999999999,4917,285
22838,3 TIER CAKE TIN RED AND CREAM,8737.78,652,136
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,8734.64,3716,426
85150,LADIES & GENTLEMEN METAL SIGN,8699.13,3899,367
84375,SET OF 20 KIDS COOKIE CUTTERS,8697.27,4149,416
20972,PINK CREAM FELT CRAFT TRINKET BOX,8648.49,7131,535
22966,GINGERBREAD MAN COOKIE CUTTER,8625.130000000001,7204,554
84991,60 TEATIME FAIRY CAKE CASES,8618.37,17689,657
22619,SET OF 6 SOLDIER SKITTLES,8597.5,2297,339
82582,AREA PATROLLED METAL SIGN,8552.220000000001,4290,374
23582,VINTAGE DOILY JUMBO BAG RED,8535.26,4447,234
21791,VINTAGE HEADS AND TAILS CARD GAME,8531.41,7143,485
23581,JUMBO BAG PAISLEY PARK,8529.24,4373,302
22632,HAND WARMER RED RETROSPOT,8526.12,4274,341
22424,ENAMEL BREAD BIN CREAM,8519.0,713,326
22041,"RECORD FRAME 7"" SINGLE SIZE",8450.82,3812,196
22169,FAMILY ALBUM WHITE PICTURE FRAME,8416.64,1075,286
22791,T-LIGHT GLASS FLUTED ANTIQUE,8378.890000000001,7336,260
22776,SWEETHEART CAKESTAND 3 TIER,8376.6,892,326
21174,POTTERING IN THE SHED METAL SIGN,8372.7,3926,371
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8354.87,1841,241
23318,BOX OF 6 MINI VINTAGE CRACKERS,8350.41,3647,329
22989,SET 2 PANTRY DESIGN TEA TOWELS,8323.17,2697,311
22147,FELTCRAFT BUTTERFLY HEARTS,8314.55,6127,436
22759,SET OF 3 NOTEBOOKS IN PARCEL,8283.75,5207,319
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8269.45,10279,306
23319,BOX OF 6 MINI 50'S CRACKERS,8216.79,3539,365
23322,LARGE WHITE HEART OF WICKER,8184.700000000001,2908,511
71459,HANGING JAM JAR T-LIGHT HOLDER,8164.12,10528,310
22158,3 HEARTS HANGING DECORATION RUSTIC,8161.21,2895,261
23082,SET 6 PAPER TABLE LANTERN HEARTS,8129.43,2265,263
22655,VINTAGE RED KITCHEN CABINET,8125.0,60,38
23078,ICE CREAM PEN LIP GLOSS,8077.31,6607,213
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8071.51,2223,401
48116,DOORMAT MULTICOLOUR STRIPE,8053.22,1419,141
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8051.83,2843,329
22729,ALARM CLOCK BAKELIKE ORANGE,7995.63,2182,359
23256,CHILDRENS CUTLERY SPACEBOY,7974.38,1982,316
23080,RED METAL BOX TOP SECRET,7962.03,1003,221
22667,RECIPE BOX RETROSPOT,7952.900000000001,2870,441
21210,SET OF 72 RETROSPOT PAPER  DOILIES,7947.37,5680,365
21121,SET/10 RED POLKADOT PARTY CANDLES,7799.18,6502,336
22652,TRAVEL SEWING KIT,7787.36,4864,394
72741,GRAND CHOCOLATECANDLE,7785.049999999999,5801,249
22502,PICNIC BASKET WICKER SMALL,7746.700000000001,1427,232
84378,SET OF 3 HEART COOKIE CUTTERS,7741.84,6019,521
22940,FELTCRAFT CHRISTMAS FAIRY,7722.68,1896,302
20711,JUMBO BAG TOYS,7689.28,4198,245
35970,ZINC FOLKART SLEIGH BELLS,7665.110000000001,4647,339
23439,HAND WARMER RED LOVE HEART,7660.200000000001,3762,371
22768,FAMILY PHOTO FRAME CORNICE,7646.839999999999,837,233
22192,BLUE DINER WALL CLOCK,7528.93,907,338
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,7510.29,2067,281
21136,PAINTED METAL PEARS ASSORTED,7491.4,4476,352
22952,60 CAKE CASES VINTAGE CHRISTMAS,7417.85,14735,466
21314,SMALL GLASS HEART TRINKET POT,7412.56,3670,342
22557,PLASTERS IN TIN VINTAGE PAISLEY,7346.69,4573,480
21770,OPEN CLOSED METAL SIGN,7311.360000000001,1577,341
20719,WOODLAND CHARLOTTE BAG,7277.24,9237,531
22616,PACK OF 12 LONDON TISSUES,7266.71,25345,382
21889,WOODEN BOX OF DOMINOES,7215.95,5778,449
21908,CHOCOLATE THIS WAY METAL SIGN,7208.52,3635,374
84949,SILVER HANGING T-LIGHT HOLDER,7193.249999999999,4665,250
23238,SET OF 4 KNICK KNACK TINS LONDON,7170.6,1788,233
22750,FELTCRAFT PRINCESS LOLA DOLL,7166.94,1964,378
22585,PACK OF 6 BIRDY GIFT TAGS,7149.7,6062,319
22355,CHARLOTTE BAG SUKI DESIGN,7138.65,8975,585
23240,SET OF 4 KNICK KNACK TINS DOILEY,7136.85,1803,172
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7128.1,3468,421
84406B,CREAM CUPID HEARTS COAT HANGER,7125.38,1918,241
84836,ZINC METAL HEART DECORATION,7108.68,5757,476
22795,SWEETHEART RECIPE BOOK STAND,7084.650000000001,1099,287
21218,RED SPOTTY BISCUIT TIN,7071.2,2058,203
23007,SPACEBOY BABY GIFT SET,7065.499999999999,450,142
22741,FUNKY DIVA PEN,7010.94,8328,155
22950,36 DOILIES VINTAGE CHRISTMAS,7006.25,5153,160
21787,RAIN PONCHO RETROSPOT,6964.63,8755,180
23215,JINGLE BELL HEART ANTIQUE SILVER,6962.04,3547,197
22767,TRIPLE PHOTO FRAME CORNICE,6932.83,761,208
23320,GIANT 50'S CHRISTMAS CRACKER,6926.110000000001,2635,310
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6923.17,5753,321
21231,SWEETHEART CERAMIC TRINKET BOX,6875.860000000001,5757,381
21213,PACK OF 72 SKULL CAKE CASES,6859.31,14309,499
22456,NATURAL SLATE CHALKBOARD LARGE,6833.200000000001,1452,303
23321,SMALL WHITE HEART OF WICKER,6832.829999999999,4283,582
84970S,HANGING HEART ZINC T-LIGHT HOLDER,6830.589999999999,8470,412
22991,GIRAFFE WOODEN RULER,6820.74,3710,234
21035,SET/2 RED RETROSPOT TEA TOWELS,6820.01,2319,219
22844,VINTAGE CREAM DOG FOOD CONTAINER,6779.35,826,292
22487,WHITE WOOD GARDEN PLANT LADDER,6778.8099999999995,724,379
21169,YOU'RE CONFUSING ME METAL SIGN,6762.57,4281,342
22333,RETROSPOT PARTY BAG + STICKER SET,6749.23,4391,267
23493,VINTAGE DOILY TRAVEL SEWING KIT,6747.9,3522,349
23083,SET 6 PAPER TABLE LANTERN STARS,6739.63,1860,209
20969,RED FLORAL FELTCRAFT SHOULDER BAG,6734.31,1876,257
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,6718.9,5293,498
22352,LUNCH BOX WITH CUTLERY RETROSPOT,6717.79,2853,324
48111,DOORMAT 3 SMILEY CATS,6715.25,1107,174
21877,HOME SWEET HOME MUG,6708.11,5347,293
C2,CARRIAGE,6686.0,134,133
22634,CHILDS BREAKFAST SET SPACEBOY,6681.849999999999,731,203
23297,SET 40 HEART SHAPE PETIT FOUR CASES,6677.0,4260,140
22294,HEART FILIGREE DOVE  SMALL,6671.07,5439,246
21955,DOORMAT UNION JACK GUNS AND ROSES,6635.61,1159,155
22840,ROUND CAKE TIN VINTAGE RED,6600.7300000000005,891,250
22627,MINT KITCHEN SCALES,6599.79,792,304
84997A,CHILDRENS CUTLERY POLKADOT GREEN,6599.06,1688,166
22968,ROSE COTTAGE KEEPSAKE BOX,6574.95,729,144
22725,ALARM CLOCK BAKELIKE CHOCOLATE,6574.26,1776,322
22367,CHILDRENS APRON SPACEBOY DESIGN,6572.49,3543,448
23008,DOLLY GIRL BABY GIFT SET,6567.95,421,120
23254,CHILDRENS CUTLERY DOLLY GIRL,6554.6,1628,268
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6530.259999999999,8122,489
22553,PLASTERS IN TIN SKULLS,6505.799999999999,4036,439
23293,SET OF 12 FAIRY CAKE BAKING CASES,6469.45,8243,465
21259,VICTORIAN SEWING BOX SMALL,6432.110000000001,1128,237
23134,LARGE ZINC HEART WALL ORGANISER,6414.48,1064,37
21165,BEWARE OF THE CAT METAL SIGN,6405.3099999999995,4027,359
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023,225
85014A,BLACK/BLUE POLKADOT UMBRELLA,6367.9400000000005,1133,256
21122,SET/10 PINK POLKADOT PARTY CANDLES,6353.58,5257,304
22637,PIGGY BANK RETROSPOT,6308.57,2619,262
22505,MEMO BOARD COTTAGE DESIGN,6306.1900000000005,1365,262
21669,BLUE STRIPE CERAMIC DRAWER KNOB,6284.25,4969,351
84992,72 SWEETHEART FAIRY CAKE CASES,6274.900000000001,13070,501
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6273.29,2151,337
21533,RETROSPOT LARGE MILK JUG,6267.150000000001,1317,310
23553,LANDMARK FRAME CAMDEN TOWN,6257.35,558,62
22381,TOY TIDY PINK POLKADOT,6229.58,3169,289
21668,RED STRIPE CERAMIC DRAWER KNOB,6224.03,5035,333
22826,LOVE SEAT ANTIQUE WHITE METAL,6210.0,58,41
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,6195.73,715,186
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,6155.04,1712,163
21871,SAVE THE PLANET MUG,6151.78,5265,270
22834,HAND WARMER BABUSHKA DESIGN,6149.33,4633,288
23229,VINTAGE DONKEY TAIL GAME,6146.89,1750,215
23480,MINI LIGHTS WOODLAND MUSHROOMS,6126.09,1719,173
22303,COFFEE MUG APPLES DESIGN,6124.15,2770,229
22631,CIRCUS PARADE LUNCH BOX,6122.629999999999,3375,256
75049L,LARGE CIRCULAR MIRROR MOBILE,6107.049999999999,6821,118
23541,WALL ART CLASSIC PUDDINGS,6093.49,821,118
21326,AGED GLASS SILVER T-LIGHT HOLDER,6083.200000000001,10088,277
23103,JINGLE BELL HEART DECORATION,6069.15,3687,307
22635,CHILDS BREAKFAST SET DOLLY GIRL,6063.0,657,180
47556B,TEA TIME TEA TOWELS,6045.0,2600,2
22663,JUMBO BAG DOLLY GIRL DESIGN,6008.41,3097,317
23307,SET OF 60 PANTRY DESIGN CAKE CASES,5982.09,11675,504
17003,BROCADE RING PURSE,5980.05,22963,206
22654,DELUXE SEWING KIT,5974.62,1058,222
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,5968.9800000000005,1280,159
22620,4 TRADITIONAL SPINNING TOPS,5960.08,4491,364
22508,DOORSTOP RETROSPOT HEART,5938.21,1516,236
21975,PACK OF 60 DINOSAUR CAKE CASES,5934.68,12134,529
22151,PLACE SETTING WHITE HEART,5922.2699999999995,14877,289
22783,SET 3 WICKER OVAL BASKETS W LIDS,5922.12,462,32
21380,WOODEN HAPPY BIRTHDAY GARLAND,5910.150000000001,2093,232
21155,RED RETROSPOT PEG BAG,5880.049999999999,2460,354
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,5855.24,1980,238
22356,CHARLOTTE BAG PINK POLKADOT,5840.64,7306,487
21535,RED RETROSPOT SMALL MILK JUG,5830.2,2460,310
47591D,PINK FAIRY CAKE CHILDRENS APRON,5823.36,3144,397
21484,CHICK GREY HOT WATER BOTTLE,5810.37,1555,282
22979,PANTRY WASHING UP BRUSH,5795.86,3920,304
23247,BISCUIT TIN 50'S CHRISTMAS,5795.2,2060,271
23172,REGENCY TEA PLATE PINK,5793.28,3688,224
22779,WOODEN OWLS LIGHT GARLAND,5781.35,1535,147
22804,CANDLEHOLDER PINK HANGING HEART,5771.780000000001,2046,343
84030E,ENGLISH ROSE HOT WATER BOTTLE,5767.91,1423,277
21888,BINGO SET,5725.71,1553,280
22784,LANTERN CREAM GAZEBO,5721.42,1214,259
23485,BOTANICAL GARDENS WALL CLOCK,5719.0,259,80
71053,WHITE METAL LANTERN,5713.03,1591,238
23113,PANTRY CHOPPING BOARD,5695.86,1138,43
62018,SOMBRERO,5691.5,4402,59
23296,SET OF 6 TEA TIME BAKING CASES,5687.150000000001,4879,319
21922,UNION STRIPE WITH FRINGE  HAMMOCK,5682.09,759,167
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,5664.78,5700,336
22485,SET OF 2 WOODEN MARKET CRATES,5652.9,462,165
48129,DOORMAT TOPIARY,5644.46,880,182
23204,CHARLOTTE BAG APPLES DESIGN,5632.15,7039,425
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5618.04,4564,307
22971,QUEENS GUARD COFFEE MUG,5603.57,2365,233
21156,RETROSPOT CHILDRENS APRON,5587.87,3039,292
84988,SET OF 72 PINK HEART PAPER DOILIES,5566.679999999999,3954,307
23311,VINTAGE CHRISTMAS STOCKING,5564.25,2199,281
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,5555.13,1543,97
23312,VINTAGE CHRISTMAS GIFT SACK,5527.150000000001,1365,193
21912,VINTAGE SNAKES & LADDERS,5523.53,1575,268
20723,STRAWBERRY CHARLOTTE BAG,5520.95,6847,492
